year,quarter,t,M_0_4,F_0_4,tot_0_4,M_5_14,F_5_14,tot_5_14,M_15_24,F_15_24,tot_15_24,M_25_34,F_25_34,tot_25_34,M_35_44,F_35_44,tot_35_44,M_45_54,F_45_54,tot_45_54,M_55_64,F_55_64,tot_55_64,M_65plus,F_65plus,tot_65plus,total_M,total_F,total_MF
2015,1,2015.125,17,16,33,320,369,689,1799,1684,3483,2720,1969,4689,2562,1602,4164,1750,1056,2806,1121,683,1804,573,373,946,10862,7752,18614
2015,2,2015.375,34,19,53,325,408,733,1769,1654,3423,2651,2066,4717,2600,1696,4296,1817,1180,2997,1155,752,1907,576,419,995,10927,8194,19121
2015,3,2015.625,26,16,42,327,411,738,1829,1698,3527,2807,2060,4867,2669,1703,4372,1873,1188,3061,1133,762,1895,572,395,967,11236,8233,19427
2015,4,2015.875,27,33,60,334,380,714,1885,1758,3643,2891,2119,5010,2584,1688,4272,1764,1145,2909,1107,760,1867,614,339,953,11206,8222,19428
2016,1,2016.125,39,28,67,391,398,789,1854,1748,3602,2783,2046,4829,2490,1691,4181,1839,1109,2948,1124,803,1927,637,409,1046,11157,8232,19389
2016,2,2016.375,36,27,63,376,395,771,1943,1726,3669,2819,2110,4929,2656,1787,4443,1945,1212,3157,1234,803,2037,562,385,947,11571,8445,20016
2016,3,2016.625,30,32,62,342,431,773,2047,1815,3862,3069,2175,5244,2636,1673,4309,1995,1199,3194,1298,817,2115,638,437,1075,12055,8579,20634
2016,4,2016.875,42,46,88,375,474,849,2118,1886,4004,3035,2263,5298,2733,1868,4601,2004,1252,3256,1344,866,2210,741,472,1213,12392,9127,21519
2017,1,2017.125,53,47,100,411,471,882,2068,1887,3955,2886,2123,5009,2819,1747,4566,2003,1319,3322,1385,938,2323,987,684,1671,12612,9216,21828
2017,2,2017.375,49,47,96,427,484,911,2203,1967,4170,3190,2219,5409,2916,1880,4796,2153,1424,3577,1474,973,2447,823,561,1384,13235,9555,22790
2017,3,2017.625,45,43,88,432,530,962,2358,2131,4489,3361,2485,5846,3181,2053,5234,2307,1521,3828,1533,1042,2575,861,592,1453,14078,10397,24475
2017,4,2017.875,41,55,96,463,536,999,2340,2104,4444,3439,2467,5906,3229,2159,5388,2402,1501,3903,1455,1071,2526,837,575,1412,14206,10468,24674
